('Gross Profit', '17,962,502.00', '17,962,502.00', '14,007,929.00', '12,447,265.00', '12,365,161.00')
         817663 function calls (793369 primitive calls) in 2.355 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      246    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        2    0.000    0.000    0.004    0.002 request.py:1(<module>)
      493    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
  171/168    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      759    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      201    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
      182    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      305    0.000    0.000    0.000    0.000 enum.py:1152(__new__)
        1    0.000    0.000    0.000    0.000 _local.py:482(Path)
      426    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       24    0.000    0.000    0.001    0.000 enum.py:251(__set_name__)
      273    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
       99    0.000    0.000    0.001    0.000 enum.py:1592(__or__)
        1    0.000    0.000    2.355    2.355 financial.py:1(<module>)
      609    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
       55    0.000    0.000    0.000    0.000 enum.py:354(__setitem__)
      304    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      295    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      198    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      224    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      694    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      299    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
     1076    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      350    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
       49    0.000    0.000    0.895    0.018 {method 'readline' of '_io.BufferedReader' objects}
      345    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      118    0.000    0.000    0.001    0.000 _htmlparser.py:285(handle_comment)
       56    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
       48    0.000    0.000    0.001    0.000 typing.py:1634(__getitem__)
     1076    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      194    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      609    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      125    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      532    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      409    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      306    0.000    0.000    0.110    0.000 __init__.py:287(compile)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      533    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      248    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       13    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 ssl.py:1361(_real_close)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x000001F9FBCCBBA0}
       76    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      130    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
      295    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      170    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
    66/36    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       53    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
        3    0.000    0.000    0.011    0.004 utils.py:1(<module>)
      214    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      170    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       12    0.000    0.000    0.000    0.000 enum.py:1455(_missing_)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      906    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      388    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      510    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
       38    0.000    0.000    0.456    0.012 response.py:1151(_handle_chunk)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
      194    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       58    0.000    0.000    0.456    0.008 client.py:635(_safe_read)
      304    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      273    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       62    0.000    0.000    0.000    0.000 filter.py:224(__init__)
    78/44    0.000    0.000    0.351    0.008 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      510    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.047    0.047 dammit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      502    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
      201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      527    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      271    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
       22    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      199    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
    42/30    0.000    0.000    0.009    0.000 css_parser.py:569(parse_pseudo_class)
      296    0.000    0.000    0.000    0.000 socket.py:744(readable)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:1(<module>)
      302    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       35    0.000    0.000    0.000    0.000 ipaddress.py:2307(__init__)
        1    0.000    0.000    0.109    0.109 element.py:1(<module>)
       38    0.000    0.000    0.006    0.000 response.py:469(_decode)
       31    0.000    0.000    0.017    0.001 element.py:1079(_find_all)
      255    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       89    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      258    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      182    0.000    0.000    0.005    0.000 _parser.py:97(closegroup)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       54    0.000    0.000    0.001    0.000 typing.py:1658(copy_with)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
      280    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
      155    0.000    0.000    0.000    0.000 filter.py:490(_make_match_rules)
        2    0.000    0.000    0.019    0.010 connection.py:1(<module>)
    29/16    0.000    0.000    0.379    0.024 {built-in method builtins.__import__}
       18    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
      156    0.000    0.000    0.000    0.000 enum.py:199(__get__)
        3    0.000    0.000    0.000    0.000 {built-in method nt._path_exists}
      182    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
        6    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
       30    0.000    0.000    0.000    0.000 enum.py:1055(_add_member_)
      341    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
      342    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
        1    0.000    0.000    0.053    0.053 css_parser.py:1(<module>)
       63    0.000    0.000    0.001    0.000 typing.py:1023(__init__)
       31    0.000    0.000    0.016    0.001 filter.py:163(find_all)
        1    0.000    0.000    0.000    0.000 element.py:346(PageElement)
       48    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.014    0.014 url.py:1(<module>)
       50    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      170    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      225    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
      266    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.236    0.236 adapters.py:1(<module>)
        7    0.000    0.000    0.002    0.000 typing.py:2979(_make_nmtuple)
      227    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      228    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
       54    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
      226    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      213    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       39    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
