('Gross Profit', '17,962,502.00', '17,962,502.00', '14,007,929.00', '12,447,265.00', '12,365,161.00')
         718700 function calls (697884 primitive calls) in 2.707 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       35    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
       35    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:2307(__init__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1641(_make_netmask)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1895(_split_scope_id)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
       34    0.000    0.000    0.000    0.000 element.py:524(get_text)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       31    0.000    0.000    0.000    0.000 filter.py:378(__init__)
       31    0.000    0.000    0.016    0.001 element.py:1079(_find_all)
       31    0.000    0.000    0.016    0.001 element.py:2715(find_all)
       31    0.000    0.000    0.000    0.000 element.py:2869(__init__)
       31    0.000    0.000    0.016    0.001 filter.py:163(find_all)
       31    0.000    0.000    0.000    0.000 filter.py:437(includes_everything)
       29    0.000    0.000    0.000    0.000 feedparser.py:129(__next__)
       29    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
       29    0.000    0.000    0.000    0.000 element.py:2173(get_attribute_list)
       29    0.000    0.000    0.000    0.000 __init__.py:680(<genexpr>)
       29    0.000    0.000    0.005    0.000 element.py:2684(find)
    27/26    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
       26    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       26    0.000    0.000    0.000    0.000 ipaddress.py:415(_check_int_address)
       26    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
       26    0.000    0.000    0.948    0.036 {method 'readline' of '_io.BufferedReader' objects}
    26/25    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       25    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       25    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       24    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
       24    0.000    0.000    0.000    0.000 message.py:515(set_raw)
       24    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
       21    0.000    0.000    0.000    0.000 enum.py:115(_iter_bits_lsb)
       21    0.000    0.000    0.000    0.000 enum.py:1435(_iter_member_by_value_)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
